MCS,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
0,61.0354,0,20,9
0,61.0354,5,20,9
0,61.0354,10,20,9
0,61.0354,15,20,9
0,61.0354,20,20,9
0,0.0183815,25,20,9
0,0.0183815,30,20,9
0,0.0183815,35,20,9
0,0.0183815,40,20,9
0,0.0183815,45,20,9
0,0,50,20,9
0,0,55,20,9
0,0,60,20,9
0,0,65,20,9
0,0,70,20,9
0,0,75,20,9
0,0,80,20,9
0,0,85,20,9
0,0,90,20,9
0,0,95,20,9
0,0,100,20,9
1,121.297,0,20,9
1,121.297,5,20,9
1,121.297,10,20,9
1,121.297,15,20,9
1,121.297,20,20,9
1,0.0183815,25,20,9
1,0.0183815,30,20,9
1,0.0183815,35,20,9
1,0.0183815,40,20,9
1,0.0183815,45,20,9
1,0,50,20,9
1,0,55,20,9
1,0,60,20,9
1,0,65,20,9
1,0,70,20,9
1,0,75,20,9
1,0,80,20,9
1,0,85,20,9
1,0,90,20,9
1,0,95,20,9
1,0,100,20,9
2,175.143,0,20,9
2,175.143,5,20,9
2,175.143,10,20,9
2,175.143,15,20,9
2,175.143,20,20,9
2,0.0183815,25,20,9
2,0.0183815,30,20,9
2,0.0183815,35,20,9
2,0.0183815,40,20,9
2,0.0183815,45,20,9
2,0,50,20,9
2,0,55,20,9
2,0,60,20,9
2,0,65,20,9
2,0,70,20,9
2,0,75,20,9
2,0,80,20,9
2,0,85,20,9
2,0,90,20,9
2,0,95,20,9
2,0,100,20,9
3,230.579,0,20,9
3,230.579,5,20,9
3,230.579,10,20,9
3,230.579,15,20,9
3,230.579,20,20,9
3,0.0183815,25,20,9
3,0.0183815,30,20,9
3,0.0183815,35,20,9
3,0.0183815,40,20,9
3,0.0183815,45,20,9
3,0,50,20,9
3,0,55,20,9
3,0,60,20,9
3,0,65,20,9
3,0,70,20,9
3,0,75,20,9
3,0,80,20,9
3,0,85,20,9
3,0,90,20,9
3,0,95,20,9
3,0,100,20,9
4,325.29,0,20,9
4,325.29,5,20,9
4,325.29,10,20,9
4,325.29,15,20,9
4,324.724,20,20,9
4,0.0183815,25,20,9
4,0.0183815,30,20,9
4,0.0183815,35,20,9
4,0.0183815,40,20,9
4,0.0183815,45,20,9
4,0,50,20,9
4,0,55,20,9
4,0,60,20,9
4,0,65,20,9
4,0,70,20,9
4,0,75,20,9
4,0,80,20,9
4,0,85,20,9
4,0,90,20,9
4,0,95,20,9
4,0,100,20,9
